プラントID No,PlantID,-1
プラントコード名,PlantCode,-1
プラント名称,PlantName,-1
運用開始日(年月日),operDate,-1
前回定検日(年月日),prevDate,-1
定検周期(年),Inspection,-1
リスク評価年,riskDate,-1
機器ID No.,EquipNo,-1
機器コード名,EquipCode,-1
機器名称,EquipName,-1
機器の分類,equipClass,-1
部位ID No.,PartID,-1
部位コード名,PartName,-1
部位名称,part,-1
機器使用開始日または更新日,useDate,-1
初期肉厚[mm],initialT,0
最小肉厚[mm],minThick,0
腐食代[mm],corrAllowance,0
前回計測肉厚[mm]及び前回計測摩耗量[mm]　兼用,preThick,-1
前回スケール厚さ測定値（短時間過熱クリープ）,preScale,-1
前回計測日,prevMDate,-1
過去の使用時間 [hr],PastHr,0
将来の使用時間予測 [hr/年],PredHr,0
金属表面温度[℃],Tmetal,0
最高蒸気温度[℃],Tsmax,0
設計温度[℃],Tdesign,0
蒸気運転温度[℃],Tope,0
[過去に発生した損傷事例]火炎側腐食(酸化),PastCase1,-1
[過去に発生した損傷事例]火炎側腐食(硫化),PastCase2,-1
[過去に発生した損傷事例]水蒸気酸化,PastCase3,-1
[過去に発生した損傷事例]流動加速腐食,PastCase4,-1
[過去に発生した損傷事例]大気側腐食,PastCase5,-1
[過去に発生した損傷事例]フライアッシュエロージョン,PastCase6,-1
[過去に発生した損傷事例]スートブロワーエロージョン,PastCase7,-1
[過去に発生した損傷事例]降下スラグエロージョン,PastCase8,-1
[過去に発生した損傷事例]エロージョン・コロージョン,PastCase9,-1
[過去に発生した損傷事例]石炭粒子エロージョン,PastCase10,-1
[過去に発生した損傷事例]アルカリ腐食,PastCase11,-1
[過去に発生した損傷事例]酸素腐食,PastCase12,-1
[過去に発生した損傷事例]酸露点腐食,PastCase13,-1
[過去に発生した損傷事例]応力腐食割れ,PastCase14,-1
[過去に発生した損傷事例]ファイアクラック,PastCase15,-1
[過去に発生した損傷事例]水素浸食,PastCase16,-1
[過去に発生した損傷事例]液体金属脆化割れ,PastCase17,-1
[過去に発生した損傷事例]ひずみ時効割れ,PastCase18,-1
[過去に発生した損傷事例]シグマ相ぜい化,PastCase19,-1
[過去に発生した損傷事例]水素脆化割れ,PastCase20,-1
[過去に発生した損傷事例]長時間クリープ,PastCase21,-1
[過去に発生した損傷事例]短時間過熱クリープ,PastCase22,-1
[過去に発生した損傷事例]異材継手クリープ,PastCase23,-1
[過去に発生した損傷事例]クリープ疲労,PastCase24,-1
[過去に発生した損傷事例]機械的疲労,PastCase25,-1
[過去に発生した損傷事例]熱疲労,PastCase26,-1
[過去に発生した損傷事例]腐食疲労,PastCase27,-1
[過去に発生した損傷事例]摩耗,PastCase28,-1
[過去に発生した損傷事例]内面ライニング損傷,PastCase29,-1
[過去に発生した損傷事例]硫酸腐食,PastCase30,-1
[過去に発生した損傷事例]その他の腐食(炭酸ガス腐食),PastCase31,-1
[過去に発生した損傷事例]その他の腐食(液体アンモニア腐食),PastCase32,-1
[過去に発生した損傷事例]その他の腐食(リン酸ナトリウム腐食),PastCase33,-1
[過去に発生した損傷事例]その他の腐食(ヒドラジン腐食),PastCase34,-1
[過去に発生した損傷事例]その他の腐食(脱硝装置の腐食),PastCase35,-1
燃料,Fuel,1
ボイラー水のpH（流動加速腐食、水素浸食）,BoilerPH,1
水中の溶存酸素量（流動加速腐食、酸素腐食）,O2Volume,1
化学洗浄（水素浸食）,ChemWash,1
コンデンサーにおけるリーク（水素浸食）,Leak,1
促進因子,Driver,1
塗装の品質,InsQuality,1
構造の複雑さ,InsComp,1
